data_path,label,type
dataset/5x_plexus_kfold_v8_hd5_final/0_S00-1910.pkl,0,train
dataset/5x_plexus_kfold_v8_hd5_final/10000_S14-580.pkl,1,train
dataset/5x_plexus_kfold_v8_hd5_final/10001_S14-580.pkl,1,train
dataset/5x_plexus_kfold_v8_hd5_final/10002_S14-580.pkl,0,train
dataset/5x_plexus_kfold_v8_hd5_final/10003_S14-580.pkl,0,train
dataset/5x_plexus_kfold_v8_hd5_final/10004_S14-580.pkl,1,train
dataset/5x_plexus_kfold_v8_hd5_final/10005_S14-580.pkl,0,train
dataset/5x_plexus_kfold_v8_hd5_final/10006_S14-580.pkl,0,train
dataset/5x_plexus_kfold_v8_hd5_final/10007_S14-580.pkl,0,train
dataset/5x_plexus_kfold_v8_hd5_final/10008_S14-580.pkl,0,train
dataset/5x_plexus_kfold_v8_hd5_final/10009_S14-580.pkl,0,train
dataset/5x_plexus_kfold_v8_hd5_final/1000_S02-410.pkl,1,val
dataset/5x_plexus_kfold_v8_hd5_final/10010_S14-580.pkl,0,train
dataset/5x_plexus_kfold_v8_hd5_final/10011_S14-580.pkl,0,train
dataset/5x_plexus_kfold_v8_hd5_final/10012_S14-580.pkl,1,train
dataset/5x_plexus_kfold_v8_hd5_final/10013_S14-580.pkl,0,train
dataset/5x_plexus_kfold_v8_hd5_final/10014_S14-580.pkl,0,train
dataset/5x_plexus_kfold_v8_hd5_final/10015_S14-580.pkl,0,train
dataset/5x_plexus_kfold_v8_hd5_final/10016_S14-580.pkl,0,train
dataset/5x_plexus_kfold_v8_hd5_final/10017_S14-580.pkl,0,train
dataset/5x_plexus_kfold_v8_hd5_final/10018_S14-580.pkl,1,train
dataset/5x_plexus_kfold_v8_hd5_final/10019_S14-580.pkl,0,train
dataset/5x_plexus_kfold_v8_hd5_final/1001_S02-410.pkl,0,val
dataset/5x_plexus_kfold_v8_hd5_final/10020_S14-580.pkl,0,train
dataset/5x_plexus_kfold_v8_hd5_final/10021_S14-580.pkl,0,train
dataset/5x_plexus_kfold_v8_hd5_final/10022_S14-580.pkl,0,train
dataset/5x_plexus_kfold_v8_hd5_final/10023_S14-580.pkl,0,train
dataset/5x_plexus_kfold_v8_hd5_final/10024_S14-580.pkl,1,train
dataset/5x_plexus_kfold_v8_hd5_final/10025_S14-580.pkl,0,train
dataset/5x_plexus_kfold_v8_hd5_final/10026_S14-580.pkl,0,train
dataset/5x_plexus_kfold_v8_hd5_final/10027_S14-580.pkl,1,train
dataset/5x_plexus_kfold_v8_hd5_final/10028_S14-580.pkl,1,train
dataset/5x_plexus_kfold_v8_hd5_final/10029_S14-580.pkl,0,train
dataset/5x_plexus_kfold_v8_hd5_final/1002_S02-410.pkl,1,val
dataset/5x_plexus_kfold_v8_hd5_final/10030_S14-580.pkl,0,train
dataset/5x_plexus_kfold_v8_hd5_final/10031_S14-580.pkl,1,train
dataset/5x_plexus_kfold_v8_hd5_final/10032_S14-580.pkl,0,train
dataset/5x_plexus_kfold_v8_hd5_final/10033_S14-580.pkl,0,train
dataset/5x_plexus_kfold_v8_hd5_final/10034_S14-580.pkl,0,train
dataset/5x_plexus_kfold_v8_hd5_final/10035_S14-580.pkl,0,train
dataset/5x_plexus_kfold_v8_hd5_final/10036_S14-580.pkl,0,train
dataset/5x_plexus_kfold_v8_hd5_final/10037_S14-580.pkl,0,train
dataset/5x_plexus_kfold_v8_hd5_final/10038_S14-580.pkl,0,train
dataset/5x_plexus_kfold_v8_hd5_final/10039_S14-580.pkl,0,train
dataset/5x_plexus_kfold_v8_hd5_final/1003_S02-410.pkl,0,val
